grp,userid,take_exam,treatments_16,gender,pretest,posttest,exam,programme,lgain,pretest_binned,SC,F_m,CB_m,V_m,MAp_m,MAv_m,PAp_m,PAv_m,Mind_m,MindDom_m
GROUP161,noname160118,1,1,,,0.64,58,KON,,,0.52,0.58,0.75,0.87,0.78,0.83,0.67,0.61,0.2,0.2
GROUP162,noname160240,0,1,,,,-1,TIK,,,,,,,,,,,,
GROUP162,noname160243,1,1,,,,10,KON,,,,,,,,,,,,
GROUP163,noname160365,1,2,,,0.64,85,-OTHER-,,,0.75,0.83,0.9,0.93,0.83,0.83,0.17,0.33,0.75,1
GROUP163,noname160372,1,2,,,0.27,63,AVOIN,,,0.48,0.25,0.6,0.67,0.39,0.5,0.44,0.56,0.4,0.8
GROUP164,noname160493,0,2,,,,-1,ENE,,,,,,,,,,,,
GROUP164,noname160495,0,2,,,,-1,AUT,,,,,,,,,,,,
GROUP165,noname160618,0,3,,,,-1,EST,,,,,,,,,,,,
GROUP165,noname160622,1,3,,,0.82,57,-OTHER-,,,0.68,0.58,0.25,0.73,0.33,0.42,0.39,0.44,0,0.46
GROUP166,noname160750,,3,,,,,,,,,,,,,,,,,
GROUP166,noname161000,,3,,,,,,,,,,,,,,,,,
GROUP165,noname160616,1,3,,,0.73,69,EST,,,0.77,0.92,0.85,1,0.94,1,0.94,0.89,-0.25,0.93
GROUP166,noname160741,1,3,,,,50,-OTHER-,,,,,,,,,,,,
GROUP161,noname160003,,1,,0,,,,,1,,,,,,,,,,
GROUP161,noname160005,0,1,1,0.18,0.73,-1,-OTHER-,0.67,1,0.41,0.46,0.45,0.5,0.45,0.63,0.5,0.48,0.28,0.33
GROUP161,noname160007,1,1,1,0,0.73,91,-OTHER-,0.73,1,0.55,0.63,0.8,0.9,0.86,0.92,1,1,1,1
GROUP161,noname160011,0,1,1,0.09,,-1,-OTHER-,,1,,0.67,0.6,0.67,0.61,0.5,0.67,0.56,0.35,0.6
GROUP161,noname160013,1,1,1,0.18,0.64,85,EST,0.56,1,0.5,0.88,0.78,0.97,0.97,0.84,0.67,0.56,0.45,0.87
GROUP161,noname160014,0,1,1,0.09,,-1,-OTHER-,,1,,0.5,0.35,0.6,0.61,0.5,0.5,0.61,0.25,0.13
GROUP161,noname160015,1,1,0,0.18,0.64,91,BIO,0.56,1,0.73,0.63,0.65,0.6,0.75,0.83,0.45,0.47,0.25,0.57
GROUP161,noname160017,1,1,0,0,0.18,17,-OTHER-,0.18,1,0.66,0.46,0.48,0.67,0.72,0.96,0.59,0.67,0.25,0.57
GROUP161,noname160018,1,1,1,0,0.73,80,-OTHER-,0.73,1,0.61,0.75,0.6,0.6,0.53,0.33,0.67,0.42,0.28,0.97
GROUP161,noname160020,1,1,1,0.09,0.64,98,-OTHER-,0.6,1,0.57,0.42,0.4,0.57,0.36,0.46,0.5,0.47,0.13,0.27
GROUP161,noname160022,1,1,0,0.09,0.73,44,AUT,0.7,1,0.61,0.5,0.45,0.67,0.5,0.63,0.61,0.64,0.13,0.27
GROUP161,noname160023,0,1,1,0.18,,-1,AUT,,1,,0.58,0.4,0.67,0.72,0.08,0.89,0.56,0.15,0.06
GROUP161,noname160024,1,1,1,0.09,0.18,67,-OTHER-,0.1,1,,0.67,0.45,0.53,0.78,0.75,0.78,0.78,0.3,0.27
GROUP161,noname160025,0,1,0,0.18,,-1,KON,,1,,1,0.5,1,0.94,1,1,1,1,1
GROUP161,noname160026,1,1,0,0.09,,93,AUT,,1,,1,0.55,1,1,1,0.5,0.5,1,1
GROUP161,noname160027,1,1,1,0.09,0.55,89,ENE,0.51,1,0.5,0.38,0.43,0.5,0.5,0.34,0.45,0.47,0.15,-0.03
GROUP161,noname160028,1,1,1,0,0.55,91,-OTHER-,0.55,1,0.52,0.54,0.73,0.87,0.83,0.88,0.86,0.86,0.73,0.8
GROUP161,noname160029,1,1,1,0.09,0.64,72,KTA,0.6,1,0.59,0.46,0.48,0.6,0.62,0.5,0.7,0.7,0.2,0.57
GROUP161,noname160030,1,1,0,0.09,0.55,62,-OTHER-,0.51,1,0.59,0.67,0.38,0.87,0.59,0.63,0.42,0.59,-0.03,-0.07
GROUP161,noname160032,1,1,1,0.09,0.91,95,EST,0.9,1,0.57,0.84,0.73,0.8,0.81,0.5,0.61,0.59,-0.03,0.6
GROUP161,noname160033,1,1,,0,0.45,57,BIO,0.45,1,,,,,,,,,,
GROUP161,noname160037,1,1,0,0.18,0.45,83,ENE,0.33,1,0.43,0.58,0.38,0.67,0.75,0.5,0.73,0.7,0.33,0.27
GROUP161,noname160038,1,1,0,0.18,0.82,94,-OTHER-,0.78,1,0.55,0.63,0.8,0.6,0.78,0.92,0.62,0.83,0.05,0.27
GROUP161,noname160039,0,1,1,0.09,,-1,AUT,,1,,0.58,1,0.87,0.72,0.67,0.94,1,0.95,1
GROUP161,noname160041,1,1,1,0.09,0.91,78,-OTHER-,0.9,1,0.36,0.67,0.8,0.74,0.78,0.42,0.17,0.09,0.05,0.44
GROUP161,noname160043,1,1,1,0.18,0.73,89,AUT,0.67,1,0.5,0.71,0.5,0.73,0.73,0.67,0.5,0.5,0.28,0.67
GROUP161,noname160044,1,1,0,0.09,,88,ENE,,1,,0.5,0.4,0.67,0.61,0.58,0.67,0.67,-0.05,0.27
GROUP161,noname160045,1,1,1,0,0.27,82,KON,0.27,1,0.57,0.42,0.5,0.6,0.62,0.54,0.56,0.56,-0.03,0.03
GROUP161,noname160046,0,1,0,0.18,,-1,-OTHER-,,1,,0.58,0.65,0.67,0.83,0.75,0.56,0.44,0.4,0.47
GROUP161,noname160051,1,1,1,0.09,0.64,86,AUT,0.6,1,0.68,0.58,0.7,0.94,0.7,0.55,0.81,0.89,-0.53,0.24
GROUP161,noname160054,1,1,1,0.09,,32,EST,,1,,0.42,0.6,0.53,0.5,0.83,0.5,0.83,0.3,0.6
GROUP161,noname160056,1,1,0,0.09,0.73,87,-OTHER-,0.7,1,0.59,0.5,0.28,0.57,0.59,0.67,0.5,0.5,0.03,0.9
GROUP161,noname160061,1,1,1,0.18,0.73,89,ENE,0.67,1,0.59,0.59,0.83,0.87,0.89,0.71,0.86,0.64,0.83,0.74
GROUP161,noname160063,1,1,0,0.09,1,78,KON,1,1,0.43,0.59,0.6,0.6,0.34,0.54,0.59,0.62,0.18,0.27
GROUP161,noname160064,1,1,1,0.09,0.82,97,KON,0.8,1,0.59,0.63,0.7,0.8,0.83,0.55,0.25,0.25,0.23,0.83
GROUP161,noname160065,1,1,1,0.09,0.55,56,ENE,0.51,1,0.61,0.54,0.58,0.7,0.92,0.92,0.73,0.78,0.38,0.67
GROUP161,noname160066,1,1,1,0.09,0.91,93,KON,0.9,1,0.61,0.58,0.58,0.57,0.84,0.67,0.64,0.62,0.5,0.61
GROUP161,noname160067,1,1,1,0.18,0.73,42,ENE,0.67,1,0.64,0.58,0.65,0.64,0.56,0.75,0.25,0.25,0.45,0.44
GROUP161,noname160068,1,1,0,0,0.64,85,KEM,0.64,1,0.66,0.88,0.58,1,0.89,0.71,0.64,0.78,0.45,0.67
GROUP161,noname160069,1,1,1,0,0.18,50,KON,0.18,1,0.66,0.46,0.35,0.64,0.56,0.63,0.56,0.5,0,0.17
GROUP161,noname160070,1,1,1,0.18,0.82,94,EST,0.78,1,0.66,0.71,0.78,0.97,0.78,0,0.95,0.67,0.95,1
GROUP161,noname160072,1,1,1,0.09,,26,EST,,1,,0.58,0.45,0.67,0.89,1,0.83,0.78,0.2,0.46
GROUP161,noname160073,1,1,0,0,,74,KEM,,1,,0.5,0.3,0.67,0.67,0.5,0.44,0.61,0.55,0.53
GROUP161,noname160075,1,1,1,0,0.82,74,EST,0.82,1,0.57,0.67,0.73,0.77,0.83,0.75,0.7,0.7,-0.08,0.11
GROUP161,noname160076,1,1,0,0.18,0.36,86,-OTHER-,0.22,1,0.59,0.42,0.48,0.7,0.56,0.59,0.62,0.64,0,0.5
GROUP161,noname160078,1,1,1,0,1,84,EST,1,1,0.39,0.67,0.75,0.67,0.78,0.75,0.39,0.47,0.6,0.6
GROUP161,noname160081,1,1,0,0,0.82,87,ENE,0.82,1,0.48,0.54,0.23,0.6,0.56,0.71,0.62,0.7,0,0.43
GROUP161,noname160082,1,1,0,0,,39,KEM,,1,,0.42,0.4,0.47,0.56,0.67,0.56,0.28,0.5,0.8
GROUP161,noname160083,0,1,,0.09,,-1,RRT,,1,,,,,,,,,,
GROUP161,noname160084,1,1,1,0.09,0.73,68,KON,0.7,1,0.57,0.55,0.35,0.67,0.61,0.5,0.61,0.47,0.15,0.37
GROUP161,noname160086,1,1,1,0,0.64,40,-OTHER-,0.64,1,0.52,0.42,0.45,0.64,0.47,0.59,0.53,0.45,0.1,0.1
GROUP161,noname160087,1,1,1,0.18,0.82,75,AUT,0.78,1,0.68,0.67,0.88,0.97,0.7,0.75,0.78,0.81,0.3,0.51
GROUP161,noname160089,1,1,1,0.09,0.91,94,EST,0.9,1,0.61,0.63,0.73,0.74,0.7,0.8,0.7,0.78,-0.23,0.24
GROUP161,noname160090,1,1,1,0.09,0.55,90,HSE,0.51,1,0.77,0.54,0.45,0.74,0.83,0.79,0.83,0.81,-0.18,0.4
GROUP161,noname160091,1,1,1,0.09,1,93,-OTHER-,1,1,0.59,0.42,0.53,0.6,0.7,0.71,0.72,0.75,-0.1,0.23
GROUP161,noname160092,1,1,1,0.18,0.36,47,KON,0.22,1,0.73,0.58,0.53,0.64,0.78,0.84,0.67,0.64,0.13,0.14
GROUP161,noname160093,0,1,1,0.09,,-1,-OTHER-,,1,,0.5,0.65,0.67,0.83,0.67,1,1,-0.6,0.47
GROUP161,noname160094,1,1,1,0.09,0.82,85,-OTHER-,0.8,1,,0.58,0.6,0.8,0.72,0.83,0.83,0.94,-0.05,0.2
GROUP161,noname160095,1,1,1,0.18,0.73,83,KON,0.67,1,0.75,0.46,0.58,0.74,0.67,0.75,0.92,0.86,0.73,0.64
GROUP161,noname160096,1,1,1,0.09,,79,KON,,1,,0.58,0.3,0.6,0.72,0.25,0.56,0.39,0.75,0.33
GROUP161,noname160097,1,1,1,0,0.73,96,-OTHER-,0.73,1,0.55,0.42,0.43,0.37,0.5,0.5,0.5,0.47,0.15,0.07
GROUP161,noname160098,0,1,0,0,,-1,-OTHER-,,1,,0.58,0.3,0.6,0.61,0.5,0.5,0.56,0.05,0.46
GROUP161,noname160100,1,1,1,0.18,0.64,82,EST,0.56,1,0.66,0.46,0.33,0.6,0.47,0.46,0.36,0.42,0.33,0.4
GROUP161,noname160101,0,1,0,0,,-1,-OTHER-,,1,,0.5,0.45,0.6,0.44,0.5,0.39,0.44,0.2,0.4
GROUP161,noname160102,1,1,1,0.18,,65,-OTHER-,,1,,0.58,0.6,0.53,0.67,0.67,0.56,0.67,0.2,0.8
GROUP161,noname160104,1,1,1,0.09,,67,-OTHER-,,1,,0.83,0.6,0.67,0.78,0.83,0.83,0.61,0.2,0.6
GROUP161,noname160105,1,1,1,0,0.45,50,-OTHER-,0.45,1,0.3,0.75,0.58,0.87,0.81,0.88,0.61,0.5,1,1
GROUP161,noname160107,1,1,1,0.18,0.73,80,-OTHER-,0.67,1,0.7,0.58,0.68,0.73,0.48,0.67,0.45,0.53,-0.63,0.37
GROUP161,noname160108,0,1,0,0.09,,-1,-OTHER-,,1,,0.67,0.5,0.6,0.83,0.83,0.72,0.83,0.25,0.6
GROUP161,noname160109,1,1,1,0.09,0.73,76,EST,0.7,1,0.66,0.63,0.65,0.67,0.67,0.5,0.2,0.31,0.8,0.8
GROUP161,noname160110,1,1,1,0.09,0.73,79,EST,0.7,1,0.34,0.59,0.75,0.8,0.78,0.75,0.42,0.39,0.68,0.8
GROUP161,noname160111,0,1,1,0,,-1,-OTHER-,,1,,0.42,0.25,0.67,0.5,0.5,0.5,0.5,0.75,0.8
GROUP161,noname160112,1,1,1,0.18,0.82,83,EST,0.78,1,0.68,0.79,0.75,1,0.89,0.92,0.89,0.92,-0.05,0.61
GROUP161,noname160113,0,1,1,0.09,,-1,AUT,,1,,0.58,0.7,0.87,0.78,0.58,0.33,0.33,0.6,0.87
GROUP161,noname160117,1,1,1,0.18,,87,KON,,1,,0.58,0.6,0.67,0.67,0.25,0.67,0.33,0.45,0.4
GROUP162,noname160128,1,1,1,0.18,0.82,77,-OTHER-,0.78,1,0.66,0.67,0.8,0.87,0.86,0.92,0.92,0.97,0.08,0.14
GROUP162,noname160131,0,1,1,0,,-1,-OTHER-,,1,,0.75,0.7,1,0.83,0.75,0.72,0.5,0.3,0.34
GROUP162,noname160133,1,1,1,0.18,0.36,88,-OTHER-,0.22,1,0.34,0.5,0.6,0.74,0.73,0.92,0.84,0.84,-0.35,0.87
GROUP162,noname160134,1,1,0,0.09,0.82,97,-OTHER-,0.8,1,0.75,0.54,0.63,0.77,0.83,0.79,0.95,0.97,0.63,0.7
GROUP162,noname160135,,1,1,0.18,0.55,,,0.45,1,0.82,0.71,0.48,0.93,0.48,0.63,0.48,0.53,0.65,0.34
GROUP162,noname160136,1,1,1,0,0.73,92,-OTHER-,0.73,1,0.66,0.59,0.63,0.6,0.58,0.34,0.61,0.36,0.4,0.4
GROUP162,noname160140,1,1,0,0.09,0.91,81,BIO,0.9,1,0.34,0.71,0.6,0.93,0.89,0.88,0.14,0.14,0.6,0.67
GROUP162,noname160142,0,1,0,0,0.64,-1,-OTHER-,0.64,1,0.66,0.54,0.35,0.94,0.64,0.46,0.53,0.53,0.43,0.8
GROUP162,noname160143,1,1,1,0.09,,89,ENE,,1,,0.42,0.3,0.67,0.67,0.08,0.67,0.17,-0.2,0.27
GROUP162,noname160146,1,1,1,0.09,,70,EST,,1,,0.5,0.35,0.73,0.67,0.75,0.83,0.61,0.35,0.86
GROUP162,noname160147,1,1,0,0,0.82,52,-OTHER-,0.82,1,0.66,0.42,0.53,0.6,0.7,0.67,0.37,0.78,0.05,0.67
GROUP162,noname160149,0,1,1,0.09,,-1,AUT,,1,,0.58,0.5,0.67,0.83,0.83,0.67,0.67,-0.3,0.53
GROUP162,noname160152,1,1,1,0.09,,77,EST,,1,,0.5,0.25,0.8,0.89,0.75,0.67,0.44,-0.35,0.6
GROUP162,noname160155,1,1,1,0.18,0.64,91,-OTHER-,0.56,1,0.43,0.8,0.7,0.74,0.59,0.34,0.42,0.48,0.03,0.11
GROUP162,noname160159,1,1,1,0.09,0,58,-OTHER-,0,1,0.5,0.75,0.58,0.5,0.5,0.5,0.5,0.53,-0.3,0.33
GROUP162,noname160161,1,1,1,0.09,,85,AUT,,1,,0.58,0.15,1,1,1,1,1,0.6,0.6
GROUP162,noname160162,1,1,0,0,0.55,76,BIO,0.55,1,0.73,0.54,0.63,0.7,0.7,0.59,0.95,0.95,-0.28,0.37
GROUP162,noname160163,1,1,1,0.09,0.82,49,EST,0.8,1,0.55,0.84,0.55,0.7,0.86,0.96,0.5,0.56,0.75,0.97
GROUP162,noname160164,0,1,1,0.09,,-1,HSE,,1,,0.58,0.6,0.67,0.78,0.58,0.61,0.56,0.2,0.4
GROUP162,noname160169,1,1,1,0.18,0.64,78,-OTHER-,0.56,1,0.68,0.54,0.58,0.74,0.73,0.75,0.64,0.59,0.6,0.64
GROUP162,noname160170,1,1,1,0.18,0.36,85,ENE,0.22,1,0.61,0.42,0.5,0.64,0.72,0.83,0.78,0.83,0.45,0.8
GROUP162,noname160171,1,1,1,0.18,,59,BIO,,1,,0.25,0.25,0.73,0.56,0.42,0.72,1,-0.35,0.27
GROUP162,noname160172,1,1,1,0.09,0.82,97,KON,0.8,1,0.52,0.54,0.35,0.8,0.62,0.54,0.81,0.86,0.58,0.9
GROUP162,noname160173,1,1,1,0.18,0.55,60,AUT,0.45,1,0.7,1,0.8,0.97,0.92,0.59,0.97,0.97,0.18,0.64
GROUP162,noname160174,1,1,1,0.18,0.09,46,-OTHER-,0,1,0.52,0.29,0.4,0.57,0.39,0.5,0.64,0.59,0.65,0.7
GROUP162,noname160175,1,1,0,0.09,0.82,66,BIO,0.8,1,0.64,0.54,0.4,0.64,0.59,0.5,0.5,0.53,0.15,0.57
GROUP162,noname160176,1,1,0,0,0.27,73,EST,0.27,1,0.39,0.63,0.45,1,0.95,1,0.17,0.28,1,1
GROUP162,noname160177,1,1,1,0,0.64,91,ENE,0.64,1,0.68,0.71,0.8,0.7,0.75,0.75,0.75,0.75,0.05,0.23
GROUP162,noname160179,1,1,1,0.09,0.73,87,EST,0.7,1,0.66,0.88,0.88,0.9,0.67,0.59,0.56,0.64,0.18,0.2
GROUP162,noname160180,1,1,1,0.09,,77,-OTHER-,,1,,0.67,0.65,0.6,0.72,0.42,0.61,0.39,0.1,0.6
GROUP162,noname160181,1,1,1,0.09,0.36,80,AUT,0.3,1,0.68,0.58,0.6,0.7,0.86,0.67,0.83,0.83,0.2,0.44
GROUP162,noname160182,1,1,1,0.09,0.82,95,KON,0.8,1,0.75,0.58,0.45,0.84,0.73,0.13,0.7,0.39,-0.03,0.37
GROUP162,noname160183,0,1,1,0.09,,-1,KEM,,1,,0.58,0.6,0.6,0.44,0.33,0.33,0.44,0.2,0.07
GROUP162,noname160187,1,1,1,0.09,0.91,73,EST,0.9,1,0.68,0.75,0.58,0.74,0.75,0.59,0.53,0.5,0.18,0.17
GROUP162,noname160188,1,1,1,0,0.64,80,KON,0.64,1,0.5,0.59,0.6,0.77,0.5,0.38,0.22,0.33,0.38,0.86
GROUP162,noname160189,1,1,1,0.09,0.36,54,KEM,0.3,1,0.5,0.5,0.55,0.64,0.78,1,0.67,0.78,0.25,0.94
GROUP162,noname160190,1,1,1,0.09,1,82,KON,1,1,0.43,0.46,0.48,0.6,0.5,0.5,0.42,0.42,0.18,0.13
GROUP162,noname160192,1,1,1,0.09,0.73,92,-OTHER-,0.7,1,0.64,0.38,0.53,0.47,0.64,0.63,0.75,0.75,0.2,0.4
GROUP162,noname160195,1,1,1,0.09,,80,EST,,1,,0.67,0.1,0.8,0.72,0.33,0.56,0.67,-0.15,0.66
GROUP162,noname160196,1,1,,0.09,0.27,91,KON,0.2,1,0.59,0.33,0.75,0.47,0.5,0.5,0.67,0.61,0.3,0.2
GROUP162,noname160197,1,1,1,0,0.82,84,KON,0.82,1,0.75,0.71,0.33,0.94,0.7,0.25,0.64,0.56,0.28,0.63
GROUP162,noname160198,0,1,1,0.09,,-1,EST,,1,,0.67,0.7,0.67,0.83,0.83,0.83,0.83,0.4,0.46
GROUP162,noname160199,0,1,0,0.18,,-1,-OTHER-,,1,,0.58,0.45,0.6,0.78,0.25,0.56,0.5,0.55,0.67
GROUP162,noname160200,1,1,1,0.09,0.73,82,KON,0.7,1,0.66,0.33,0.35,0.57,0.5,0.75,0.42,0.5,0.4,0.47
GROUP162,noname160201,1,1,1,0,0.45,74,-OTHER-,0.45,1,0.55,0.59,0.5,0.7,0.5,0.42,0.11,0.11,0.35,0.37
